code,name
BSE/BOM500306,JAYKAY ENTERPRISES LTD. EOD Prices
BSE/BOM500307,NIRLON LTD. EOD Prices
BSE/BOM500310,Novopan Industries Ltd. EOD Prices
BSE/BOM500312,Oil and Natural Gas Corporation Ltd EOD Prices
BSE/BOM500313,OIL COUNTRY TUBULAR LTD. EOD Prices
BSE/BOM500314,ORIENTAL HOTELS LTD. EOD Prices
BSE/BOM500315,ORIENTAL BANK OF COMMERCE EOD Prices
BSE/BOM500317,OSWAL AGRO MILLS LTD. EOD Prices
BSE/BOM500318,Oswal Spinning & Weaving Mills Ltd. EOD Prices
BSE/BOM500319,INDIAN SUCROSE LTD. EOD Prices
BSE/BOM500322,PANYAM CEMENTS & MINERAL INDUSTRIES LTD. EOD Prices
BSE/BOM500325,RELIANCE INDUSTRIES LTD. EOD Prices
BSE/BOM500327,Pil Italica Lifestyle Ltd EOD Prices
BSE/BOM500329,PENTAMEDIA GRAPHICS LTD. EOD Prices
BSE/BOM500330,RAYMOND LTD. EOD Prices
BSE/BOM500331,PIDILITE INDUSTRIES LTD. EOD Prices
BSE/BOM500333,PIX TRANSMISSIONS LTD. EOD Prices
BSE/BOM500335,BIRLA CORPORATION LTD. EOD Prices
BSE/BOM500336,SURYA ROSHNI LTD. EOD Prices
BSE/BOM500337,PRIME SECURITIES LTD. EOD Prices
BSE/BOM500338,Prism Johnson Ltd EOD Prices
BSE/BOM500339,Rain Industries Ltd EOD Prices
BSE/BOM500343,AMJ Land Holdings Ltd EOD Prices
BSE/BOM500346,PUNJAB COMMUNICATIONS LTD.-$ EOD Prices
BSE/BOM500350,RSWM LTD. EOD Prices
BSE/BOM500354,RAJSHREE SUGARS & CHEMICALS LTD. EOD Prices
BSE/BOM500355,RALLIS INDIA LTD. EOD Prices
BSE/BOM500356,SHREE RAMA NEWSPRINT LTD. EOD Prices
BSE/BOM500357,RAMA PAPER MILLS LTD. EOD Prices
BSE/BOM500358,RAMA PETROCHEMICALS LTD. EOD Prices
BSE/BOM500359,Ranbaxy Laboratories Ltd. EOD Prices
BSE/BOM500360,RAPICUT CARBIDES LTD. EOD Prices
BSE/BOM500365,Welspun Specialty Solutions Ltd EOD Prices
BSE/BOM500366,ROLTA INDIA LTD. EOD Prices
BSE/BOM500367,RUBFILA INTERNATIONAL LTD. EOD Prices
BSE/BOM500368,RUCHI SOYA INDUSTRIES LTD. EOD Prices
BSE/BOM500370,SALORA INTERNATIONAL LTD. EOD Prices
BSE/BOM500371,SAMTEL INDIA LTD.-$ EOD Prices
BSE/BOM500372,SAMTEL COLOR LTD. EOD Prices
BSE/BOM500378,JINDAL SAW LTD. EOD Prices
BSE/BOM500380,JK LAKSHMI CEMENT LTD. EOD Prices
BSE/BOM500387,SHREE CEMENT LTD. EOD Prices
BSE/BOM500388,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD. EOD Prices
